Latitude,Species,Habitat,Depth,TL(cm),d13C,C.N,Lipid.Extraction,ProvCode,ProvDescr,meanLH,sdLH,rangeLH
59.06667,Somniosus pacificus,Shelf,63,159,-23.018,7.32496488,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59.05,Somniosus pacificus,Shelf,69,212,-23.172,8.533433144,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
59,Somniosus pacificus,Shelf,74,127,-22.393,5.278632387,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.98333,Somniosus pacificus,Shelf,73,164,-23.669,9.0839,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.98333,Somniosus pacificus,Shelf,68,147,-23.473,8.413567766,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.98333,Somniosus pacificus,Shelf,70,165,-22.614,7.265882059,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.934,Apristurus sp,Slope,2000,36.5,-18.19222342,3.390681628,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Centroscymnus crepidater,Slope,1000,28,-18.51308748,3.694314831,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Centroscymnus crepidater,Slope,1000,69,-17.74,3.41,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Centroscymnus crepidater,Slope,1000,79,-17.7,3.39,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Centroscymnus crepidater,Slope,1000,75,-18.03,3.39,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Deania calcea,Slope,1000,84,-17.23,3.31,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Centroscymnus crepidater,Slope,1000,81,-17.84575664,3.250275207,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Deania calcea,Slope,1000,75,-16.64,3.24,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Deania calcea,Slope,1000,85,-16.06,3.2,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Centrophorus squamosus,Slope,1000,113,-17.99877629,3.14733894,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.913,Deania calcea,Slope,1000,83,-16.53,2.95,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.83333,Somniosus pacificus,Shelf,72,153,-23.494,9.073614928,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.61667,Somniosus pacificus,Shelf,68,170,-22.574,6.573066476,No,BERS,Polar - N. Pacific Epicontinental Province,-23.63904782,1.529449556,8.881174787
58.53,Etmopterus princeps,Slope,1800,42,-18.05,3.89,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus microps,Slope,1800,60,-18.07156229,3.423366976,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus microps,Slope,1800,66.5,-17.64061267,3.415660146,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus aphyodes,Slope,1800,54,-17.68051529,3.414552629,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus microps,Slope,1800,49,-18.08869904,3.412368874,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus melanoasper,Slope,1800,62,-18.90652978,3.400559418,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus microps,Slope,1800,65,-18.16689264,3.378669658,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus microps,Slope,1800,54,-17.51931961,3.37477693,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus microps,Slope,1800,51.5,-17.96,3.37,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus microps,Slope,1800,60,-18.04,3.34,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus microps,Slope,1800,61.5,-18.42,3.33,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.53,Apristurus microps,Slope,1800,45,-18.64,3.27,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Galeus murinus,Slope,1200,28,-17.54285156,3.774687472,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,97,-17.02063381,3.70105483,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,115,-16.96,3.64,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,104,-16.90971659,3.612020331,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,79,-16.43,3.61,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,112,-16.47287595,3.597737246,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,88,-17.11,3.59,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,92.5,-17.37,3.59,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,95.5,-16.94,3.54,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,105,-17.53,3.52,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
58.506,Centroscymnus coelolepis,Slope,1200,95,-17.42,3.52,Water Rinse,NECS,Coastal - NE Atlantic Shelves Province,-21.92491079,1.45680926,8.150564323
